seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 162 2, 96 4",76,70,63,41,0.6306306306306306,0.584,0.5263157894736842,0.5737704918032787
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 147 2, 87 4",63,72,63,52,0.5806451612903226,0.54,0.5333333333333333,0.555984555984556
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 194 3, 131 2, 75 4",65,84,43,58,0.5915492957746479,0.596,0.6614173228346457,0.6245353159851301
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 166 3, 119 2, 65 4",73,68,73,36,0.6538461538461539,0.564,0.48226950354609927,0.5551020408163265
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 100 2, 58 4",61,79,55,55,0.5895522388059702,0.56,0.5895522388059702,0.5895522388059702
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 119 3, 83 2, 48 4",55,87,38,70,0.554140127388535,0.568,0.696,0.6170212765957447
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 90 3, 70 2, 40 4",66,77,64,43,0.6416666666666667,0.572,0.5460992907801419,0.5900383141762452
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 56 2, 28 4",58,82,58,52,0.6119402985074627,0.56,0.5857142857142857,0.5985401459854015
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 36 2, 17 4",57,83,51,59,0.5845070422535211,0.56,0.6194029850746269,0.6014492753623188
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 17 2, 9 4",58,89,46,57,0.6095890410958904,0.588,0.6592592592592592,0.6334519572953736
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,67,73,65,45,0.6186440677966102,0.56,0.5289855072463768,0.5703125
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 162 2, 96 4",23,131,72,24,0.8451612903225807,0.616,0.645320197044335,0.7318435754189945
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 147 2, 87 4",22,129,74,25,0.8376623376623377,0.604,0.6354679802955665,0.722689075630252
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 194 3, 131 2, 75 4",22,121,89,18,0.8705035971223022,0.572,0.5761904761904761,0.6934097421203438
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 166 3, 119 2, 65 4",25,136,67,22,0.8607594936708861,0.644,0.6699507389162561,0.7534626038781163
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 100 2, 58 4",20,124,85,21,0.8551724137931035,0.576,0.5933014354066986,0.7005649717514125
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 119 3, 83 2, 48 4",26,123,88,13,0.9044117647058824,0.596,0.5829383886255924,0.7089337175792508
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 90 3, 70 2, 40 4",19,136,68,27,0.8343558282208589,0.62,0.6666666666666666,0.7411444141689373
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 56 2, 28 4",23,138,62,27,0.8363636363636363,0.644,0.69,0.7561643835616437
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 36 2, 17 4",23,138,66,23,0.8571428571428571,0.644,0.6764705882352942,0.756164383561644
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 17 2, 9 4",29,141,62,18,0.8867924528301887,0.68,0.6945812807881774,0.7790055248618784
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,22,140,68,20,0.875,0.648,0.6730769230769231,0.7608695652173914
