global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 254 3, 151 2, 95 4",11,155,65,19,0.8908045977011494,0.664,0.7045454545454546,0.7868020304568528
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 229 3, 135 2, 86 4",13,141,81,15,0.9038461538461539,0.616,0.6351351351351351,0.746031746031746
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 203 3, 124 2, 73 4",9,163,54,24,0.8716577540106952,0.688,0.7511520737327189,0.806930693069307
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 173 3, 112 2, 65 4",19,150,69,12,0.9259259259259259,0.676,0.684931506849315,0.7874015748031495
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 148 3, 97 2, 55 4",12,134,88,16,0.8933333333333333,0.584,0.6036036036036037,0.7204301075268817
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 119 3, 87 2, 44 4",14,153,71,12,0.9272727272727272,0.668,0.6830357142857143,0.7866323907455013
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 100 3, 67 2, 33 4",15,145,85,5,0.9666666666666667,0.64,0.6304347826086957,0.763157894736842
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 77 3, 49 2, 24 4",14,175,46,15,0.9210526315789473,0.756,0.7918552036199095,0.851581508515815
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 52 3, 33 2, 15 4",14,167,57,12,0.9329608938547486,0.724,0.7455357142857143,0.8287841191066998
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 17 2, 8 4",19,147,78,6,0.9607843137254902,0.664,0.6533333333333333,0.7777777777777777
1722459085,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,14,155,69,12,0.9281437125748503,0.676,0.6919642857142857,0.7928388746803069
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 241 3, 162 2, 97 4",21,133,55,41,0.764367816091954,0.616,0.7074468085106383,0.734806629834254
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 215 3, 143 2, 92 4",34,107,86,23,0.823076923076923,0.564,0.5544041450777202,0.6625386996904025
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 188 3, 127 2, 85 4",31,99,104,16,0.8608695652173913,0.52,0.4876847290640394,0.6226415094339622
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 163 3, 115 2, 72 4",32,136,53,29,0.8242424242424242,0.672,0.7195767195767195,0.768361581920904
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 137 3, 101 2, 62 4",36,99,100,15,0.868421052631579,0.54,0.49748743718592964,0.6325878594249201
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 112 3, 87 2, 51 4",36,126,59,29,0.8129032258064516,0.648,0.6810810810810811,0.7411764705882353
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 81 3, 71 2, 48 4",37,120,65,28,0.8108108108108109,0.628,0.6486486486486487,0.7207207207207208
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 63 3, 51 2, 36 4",31,128,46,45,0.7398843930635838,0.636,0.735632183908046,0.7377521613832853
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 43 3, 31 2, 26 4",45,134,46,25,0.8427672955974843,0.716,0.7444444444444445,0.7905604719764011
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 19 2, 18 3, 13 4",41,128,44,37,0.7757575757575758,0.676,0.7441860465116279,0.7596439169139465
1722459286,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,45,122,62,21,0.8531468531468531,0.668,0.6630434782608695,0.7461773700305809
